pmid,file_path
19471319,incr.2024-12-17/PMC003xxxxxx/PMC3063650.xml
21461125,incr.2024-12-17/PMC003xxxxxx/PMC3066448.xml
21277760,incr.2024-12-17/PMC003xxxxxx/PMC3070849.xml
21354816,incr.2024-12-17/PMC003xxxxxx/PMC3071444.xml
21131604,incr.2024-12-17/PMC003xxxxxx/PMC3071898.xml
21195621,incr.2024-12-17/PMC003xxxxxx/PMC3072067.xml
21397860,incr.2024-12-17/PMC003xxxxxx/PMC3072410.xml
20124440,incr.2024-12-17/PMC003xxxxxx/PMC3073230.xml
19419981,incr.2024-12-17/PMC003xxxxxx/PMC3073380.xml
21220015,incr.2024-12-17/PMC003xxxxxx/PMC3073692.xml
21383240,incr.2024-12-17/PMC003xxxxxx/PMC3074466.xml
21146390,incr.2024-12-17/PMC003xxxxxx/PMC3078187.xml
21376121,incr.2024-12-17/PMC003xxxxxx/PMC3078531.xml
21316405,incr.2024-12-17/PMC003xxxxxx/PMC3078687.xml
20195241,incr.2024-12-17/PMC003xxxxxx/PMC3078689.xml
21185315,incr.2024-12-17/PMC003xxxxxx/PMC3079014.xml
21328622,incr.2024-12-17/PMC003xxxxxx/PMC3080031.xml
20472940,incr.2024-12-17/PMC003xxxxxx/PMC3081667.xml
21294144,incr.2024-12-17/PMC003xxxxxx/PMC3082584.xml
21384408,incr.2024-12-17/PMC003xxxxxx/PMC3082587.xml
21197658,incr.2024-12-17/PMC003xxxxxx/PMC3087860.xml
19908197,incr.2024-12-17/PMC003xxxxxx/PMC3092783.xml
21603086,incr.2024-12-17/PMC003xxxxxx/PMC3098462.xml
21255816,incr.2024-12-17/PMC003xxxxxx/PMC3100196.xml
19748352,incr.2024-12-17/PMC003xxxxxx/PMC3101568.xml
21335488,incr.2024-12-17/PMC003xxxxxx/PMC3104396.xml
22476623,incr.2024-12-17/PMC003xxxxxx/PMC3557796.xml
22487856,incr.2024-12-17/PMC003xxxxxx/PMC3560290.xml
23051607,incr.2024-12-17/PMC003xxxxxx/PMC3562403.xml
20659065,incr.2024-12-17/PMC003xxxxxx/PMC3563260.xml
23335026,incr.2024-12-17/PMC003xxxxxx/PMC3569710.xml
23836234,incr.2024-12-17/PMC003xxxxxx/PMC3984536.xml
24666134,incr.2024-12-17/PMC003xxxxxx/PMC3984599.xml
21674736,incr.2024-12-17/PMC003xxxxxx/PMC3984922.xml
24126091,incr.2024-12-17/PMC003xxxxxx/PMC3985491.xml
21081125,incr.2024-12-17/PMC003xxxxxx/PMC3988783.xml
24446880,incr.2024-12-17/PMC003xxxxxx/PMC3989504.xml
23148958,incr.2024-12-17/PMC003xxxxxx/PMC3990217.xml
23392631,incr.2024-12-17/PMC004xxxxxx/PMC4126520.xml
24801708,incr.2024-12-17/PMC004xxxxxx/PMC4127133.xml
24704183,incr.2024-12-17/PMC004xxxxxx/PMC4127357.xml
38587076,incr.2024-12-17/PMC007xxxxxx/PMC7615924.xml
39356622,incr.2024-12-17/PMC007xxxxxx/PMC7616691.xml
39498563,incr.2024-12-17/PMC007xxxxxx/PMC7616809.xml
33687948,incr.2024-12-17/PMC007xxxxxx/PMC7616950.xml
39664202,incr.2024-12-17/PMC007xxxxxx/PMC7617184.xml
28834355,incr.2024-12-17/PMC007xxxxxx/PMC7617208.xml
39679193,incr.2024-12-17/PMC007xxxxxx/PMC7617230.xml
37596472,incr.2024-12-17/PMC007xxxxxx/PMC7617233.xml
39332412,incr.2024-12-17/PMC007xxxxxx/PMC7617234.xml
32865891,incr.2024-12-17/PMC007xxxxxx/PMC7617235.xml
39604727,incr.2024-12-17/PMC007xxxxxx/PMC7617236.xml
38102496,incr.2024-12-17/PMC010xxxxxx/PMC10798060.xml
37952237,incr.2024-12-17/PMC010xxxxxx/PMC10838708.xml
24267431,incr.2024-12-17/PMC011xxxxxx/PMC11646150.xml
30129477,incr.2024-12-17/PMC011xxxxxx/PMC11646336.xml
38411838,incr.2024-12-17/PMC011xxxxxx/PMC11646557.xml
38598574,incr.2024-12-17/PMC011xxxxxx/PMC11646681.xml
